AIRCRAFT,ABREV,REV,REV_DATE,VERSION,LOPA,MAX TAXI,MAX TAKEOFF,MAX LANDING,MAX ZERO FUEL,FUEL CAPACITY,EMPTY,EMPTY,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,FLY AWAY KIT,CHEMICAL FLUID,CHEMICAL FLUID,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,CREW,STRETCHER,STRETCHER,STRETCHER,STRETCHER,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,PANTRY,WATER,WATER,WATER,WATER,MAX_PAX,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,SEATING CONDITION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION,DISTRIBUTION
,,,,,,,,,,,WEIGHT,INDEX,PERMANENT,PERMANENT,OCCASIONNAL,OCCASIONNAL,VIP,VIP,WEIGHT,INDEX VAR,Captain or FO,Captain or FO,1ST OBS,1ST OBS,2ND OBS,2ND OBS,FWD LH,FWD LH,FWD RH,FWD RH,AFT LH,AFT LH,AFT RH,AFT RH,RIGHT,RIGHT,LEFT,LEFT,A,A,B,B,C/E/F,C/E/F,D,D,DRINKING by 1/4,DRINKING by 1/4,by 1/4,by 1/4,,OA,OA,OA,OA,OB,OB,OB,OB,OC,OC,OC,OC,OA,OA,OB,OB,OC,OC
,,,,,,,,,,,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,WEIGHT,INDEX VAR,,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,ADULT,MALE,FEMALE,CHILD,MAX,COEFF,MAX,COEFF,MAX,COEFF
CN-RGN,RGN,001-2022,26/05/2022,12C147Y,EG1304,78471,78244,66360,62731,20893,41545,"44,07",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,27",1044,"+2,76",1161,"+1,44",261,"-0,94",59,"+0,84",236,"+3,34",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
CN-RGV,RGV,02-2025,02/07/2025,12C147Y,01-901735-DW-001,79242,79015,66360,62731,20893,41602,"44,25",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1287,"+4,27",1043,"+2,76",1160,"+1,45",260,"-0,93",59,"+0,83",237,"+3,33",159,"-1,0080","-1,0560","-0,8400","-0,4200","-0,3035","-0,3179","-0,2529","-0,1265","0,6523","0,6834","0,5436","0,2718",12,0.09005,78,0.49979,69,
CN-RGW,RGW,01-2023,03/10/2023,12C150Y,EG1401,79242,79015,66360,62731,20893,42282,"41,91",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",,,"57,16","+0,68","57,16","+0,59",936,"+2,90",812,"+1,39",958,"+3,12",106,"-1,65",59,"+0,83",237,"+3,34",162,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.072014,78,0.478337,72,
CN-RHI,RHI,01-2025,25/08/2025,8C168Y,LOPA-3/8-6558,82871,82644,69308,65952,20728,43989,"38,75",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10",,,"57,16","+0,68",828,"+0,70",649,"+1,30",757,"+1,44",140,"-2,06",59,"+0,83",236,"+3,32",176,"-1,0459","-1,0459","-1,0459","-1,0459","-0,3989","-0,3989","-0,3989","-0,3989","+0,6377","+0,6377","+0,6377","+0,6377",8,0.045597,84,0.476074,84,
CN-RHJ,RHJ,01-2025,08/09/2025,8C168Y,LOPA-3/8-6558,82871,82644,69308,65952,20728,44011,"38,97",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10",,,"57,16","+0,68",828,"+0,70",649,"+1,30",757,"+1,44",140,"-2,06",59,"+0,83",236,"+3,32",176,"-1,0459","-1,0459","-1,0459","-1,0459","-0,3989","-0,3989","-0,3989","-0,3989","+0,6377","+0,6377","+0,6377","+0,6377",8,0.045597,84,0.476074,84,
CN-RHK,RHK,01-2025,19/09/2025,8C168Y,LOPA-3/8-6558,82871,82644,69308,65952,20728,43972,"39,34",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10",,,"57,16","+0,68",828,"+0,70",649,"+1,30",757,"+1,44",140,"-2,06",59,"+0,83",236,"+3,32",176,"-1,0459","-1,0459","-1,0459","-1,0459","-0,3989","-0,3989","-0,3989","-0,3989","+0,6377","+0,6377","+0,6377","+0,6377",8,0.045597,84,0.476074,84,
CN-RHL,RHL,01-2025,30/09/2025,8C168Y,LOPA-3/8-6558,82871,82644,69308,65952,20728,43943,"38,01",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10",,,"57,16","+0,68",828,"+0,70",649,"+1,30",757,"+1,44",140,"-2,06",59,"+0,83",236,"+3,32",176,"-1,0459","-1,0459","-1,0459","-1,0459","-0,3989","-0,3989","-0,3989","-0,3989","+0,6377","+0,6377","+0,6377","+0,6377",8,0.045597,84,0.476074,84,
CN-RHM,RHM,01-2026,10/11/2025,8C168Y,LOPA-3/8-6558,82871,82644,69308,65952,20728,44003,"37,89",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10",,,"57,16","+0,68",828,"+0,70",649,"+1,30",757,"+1,44",140,"-2,06",59,"+0,83",236,"+3,32",176,"-1,0459","-1,0459","-1,0459","-1,0459","-0,3989","-0,3989","-0,3989","-0,3989","+0,6377","+0,6377","+0,6377","+0,6377",8,0.045597,84,0.476074,84,
CN-RHN,RHN,01-2026,10/12/2025,8C168Y,LOPA-3/8-6558,82871,82644,69308,65952,20728,43920,"38,87",52,"-0,46",,,,,23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,16",75,"-1,16",75,"+1,10",75,"+1,10",,,"57,16","+0,68",828,"+0,70",649,"+1,30",757,"+1,44",140,"-2,06",59,"+0,83",236,"+3,32",176,"-1,0459","-1,0459","-1,0459","-1,0459","-0,3989","-0,3989","-0,3989","-0,3989","+0,6377","+0,6377","+0,6377","+0,6377",8,0.045597,84,0.476074,84,
CN-RNU,RNU,001-2026,18/02/2026,12C147Y,EG1306,78471,78244,66360,62731,20893,39185,"47,12",52,"-0,65",215,"-2,70",210,"-2,64",23,"+0,29",85,"-1,52",85,"-1,44",85,"-1,45",75,"-1,18",75,"-1,18",75,"+1,08",75,"+1,08","57,16","+0,68","57,16","+0,63",1288,"+4,28",1044,"+2,78",1161,"+1,46",261,"-0,92",59,"+0,83",236,"+3,32",159,"-0,9919","-1,0392","-0,8266","-0,4133","-0,2911","-0,3050","-0,2426","-0,1213","0,6569","0,6882","0,5474","0,2737",12,0.069849,78,0.487669,69,
